EGRESOS VOLEY 2024,,,,,,,,,,,,
,,,,,,,,,,,,
,EGRESOS:,"$7,252,406.00 ",,,SALDO,,,,,,,
,,,,,"($3,854,606.00)",,,,,,,
FECHA,DESCRIPCION,MONTO,M. DE PAGO,,,,,,,,,
17/2/2024,Gastos Locacion,"$63,200.00 ",Transferencia,,,,,,,,,
17/2/2024,Gastos Locacion,"$16,000.00 ",Efectivo,,,,,,,,,
17/2/2024,Salarios,"$22,500.00 ",Transferencia,,,,,,,,,
17/2/2024,Salarios,"$35,000.00 ",Transferencia,,,,,,,,,
17/2/2024,Salarios,"$120,000.00 ",Transferencia,,,,,,,,,
17/2/2024,Salarios,"$58,000.00 ",Efectivo,,,,,,,,,
17/2/2024,Salarios,"$160,000.00 ",Transferencia,,,,,,,,,
17/2/2024,Salarios,"$20,000.00 ",Transferencia,,,,,,,,,
17/2/2024,AMPAT,"$10,000.00 ",Transferencia,,,,,,,,,
27/2/2024,Materiales,"$17,000.00 ",Transferencia,,,,,,,,,
27/2/2024,Materiales,"$17,000.00 ",Transferencia,"$538,700.00 ",,,,,,,,
6/3/2024,Gastos Locacion,"$3,000.00 ",Transferencia,,,,,,,,,
6/3/2024,Salarios,"$13,500.00 ",Transferencia,,,,,,,,,
6/3/2024,Salarios,"$30,000.00 ",Transferencia,,,,,,,,,
11/3/2024,Materiales,"$5,000.00 ",Transferencia,,,,,,,,,
14/3/2024,Salarios,"$32,500.00 ",Transferencia,,,,,,,,,
15/3/2024,Materiales,"$12,000.00 ",Transferencia,,,,,,,,,
15/3/2024,Salarios,"$150,000.00 ",Transferencia,,,,,,,,,
15/3/2024,Salarios,"$90,000.00 ",Transferencia,,,,,,,,,
27/3/2024,Materiales,"$18,000.00 ",Transferencia,,,,,,,,,
25/3/2024,Salarios,"$45,000.00 ",Transferencia,,,,,,,,,
15/3/2024,Materiales,"$5,400.00 ",Transferencia,,,,,,,,,
18/3/2024,Gastos Locacion,"$40,000.00 ",Transferencia,,,,,,,,,
20/3/2024,Gastos Locacion,"$8,500.00 ",Transferencia,,,,,,,,,
27/3/2024,Materiales,"$18,000.00 ",Transferencia,,,,,,,,,
27/3/2024,Gastos Locacion,"$15,000.00 ",Transferencia,,,,,,,,,
27/3/2024,Salarios,"$42,000.00 ",Efectivo,,,,,,,,,
27/3/2024,Salarios,"$110,000.00 ",Transferencia,,,,,,,,,
27/3/2024,Materiales,"$5,000.00 ",Transferencia,,,,,,,,,
25/3/2024,Salarios,"$16,000.00 ",Efectivo,"$658,900.00 ",,,,,,,,
8/4/2024,Gastos Locacion,"$5,200.00 ",Efectivo,,,,,,,,,
11/4/2024,Gastos Locacion,"$56,000.00 ",Transferencia,,,,,,,,,
11/4/2024,Gastos Locacion,"$35,000.00 ",Transferencia,,,,,,,,,
4/4/2024,Seguro AP,"$31,040.00 ",Transferencia,,,,,,,,,
4/4/2024,Seguro RC,"$1,100.00 ",Transferencia,,,,,,,,,
18/4/2024,Salarios,"$530,000.00 ",Transferencia,,,,,,,,,
18/4/2024,Seguro RC,"$1,100.00 ",Transferencia,,,,,,,,,
18/4/2024,AMPAT,"$10,000.00 ",Transferencia,,,,,,,,,
18/4/2024,Gastos Locacion,"$40,000.00 ",Transferencia,,,,,,,,,
18/4/2024,Salarios,"$30,000.00 ",Efectivo,,,,,,,,,
22/4/2024,Seguro AP,"$76,630.00 ",Transferencia,"$816,070.00 ",,,,,,,,
18/5/2024,Salarios,"$560,000.00 ",Transferencia,,,,,,,,,
18/5/2024,Gastos Locacion,"$50,000.00 ",Transferencia,,,,,,,,,
18/5/2024,Salarios,"$30,000.00 ",Transferencia,,,,,,,,,
18/5/2024,Seguro RC,"$1,100.00 ",Transferencia,,,,,,,,,
18/5/2024,AMPAT,"$10,000.00 ",Transferencia,,,,,,,,,
18/5/2024,Gastos Locacion,"$105,000.00 ",Transferencia,,,,,,,,,
18/5/2024,Seguro AP,"$89,240.00 ",Transferencia,"$845,340.00 ",,,,,,,,
10/6/2024,Materiales,"$15,000.00 ",Transferencia,,,,,,,,,
15/6/2024,Salarios,"$180,000.00 ",Transferencia,,,,,,,,,
21/6/2024,Gastos Locacion,"$50,000.00 ",Transferencia,,,,,,,,,
21/6/2024,Salarios,"$30,000.00 ",Transferencia ,,,,,,,,,
21/6/2024,Seguro RC,"$1,100.00 ",Transferencia,,,,,,,,,
21/6/2024,AMPAT,"$10,000.00 ",Transferencia,, ,,,,,,,
21/6/2024,Salarios,"$430,000.00 ",Transferencia ,,,,,,,,,
26/6/2024,Materiales,"$6,000.00 ",Transferencia,,,,,,,,,
26/6/2024,Materiales,"$5,000.00 ",Transferencia,Chequear con lucas si se repuso el dinero,,,,,,,,
26/6/2024,Seguro AP,"$77,600.00 ",Transferencia,"$804,700.00 ",,,,,,,,
3/7/2024,Salarios,"$165,000.00 ",Transferencia,,,,,,,,,
16/7/2024,Salarios,"$120,000.00 ",Transferencia,,,,,,,,,
18/7/2024,Salarios,"$65,000.00 ",Transferencia,,,,,,,,,
18/7/2024,AMPAT,"$10,000.00 ",Transferencia,,,,,,,,,
18/7/2024,Seguro RC,"$1,557.00 ",Transferencia,,,,,,,,,
18/7/2024,Seguro AP,"$79,540.00 ",Transferencia,,,,,,,,,
15/8/2024,Gastos Locacion,"$21,000.00 ",Transferencia,"$441,097.00 ",,,,,,,,
15/8/2024,Gastos Locacion,"$70,000.00 ",Transferencia,,,,,,,,,
19/8/2024,Salarios,"$620,000.00 ",Transferencia,,,,,,,,,
22/8/2024,Gastos Locacion,"$56,000.00 ",Transferencia,,,,,,,,,
22/8/2024,Salarios,"$95,000.00 ",Transferencia,,,,,,,,,
22/8/2024,Seguro RC,"$1,557.00 ",Transferencia,,,,,,,,,
22/8/2024,Seguro AP,"$76,660.00 ",Transferencia,,,,,,,,,
22/8/2024,AMPAT,"$11,500.00 ",Transferencia,,,,,,,,,
30/8/2024,Devolucion prestamo,"$84,000.00 ",Transferencia,,,,,,,,,
30/8/24,Salarios,"$95,500.00 ",Transferencia,,,,,,,,,
18/9/2024,Salarios,"$620,000.00 ",Transferencia,,,,,,,,,
18/9/2024,Seguro RC,"$1,557.00 ",Transferencia,,,,,,,,,
18/9/2024,Seguro AP,"$95,825.00 ",Transferencia,,,,,,,,,
18/9/2024,AMPAT,"$11,500.00 ",Transferencia,,,,,,,,,
18/9/2024,Salarios,"$105,000.00 ",Transferencia,,,,,,,,,
18/10/2024,Salarios,"$747,500.00 ",Transferencia,,,,,,,,,
18/10/2024,Salarios,"$12,500.00 ",Efectivo,,,,,,,,,
18/10/2024,Salarios,"$105,000.00 ",Transferencia,,,,,,,,,
1/10/2024,Salarios,"$300,000.00 ",Transferencia,,,,,,,,,
8/10/2024,Gastos Locacion,"$3,500.00 ",Transferencia,,,,,,,,,
18/10/2024,Gastos Locacion,"$14,000.00 ",Efectivo,,,,,,,,,
18/10/2025,Seguro RC,"$98,950.00 ",Transferencia,,,,,,,,,
18/10/2026,Seguro AP,"$11,500.00 ",Transferencia,,,,,,,,,
18/10/2027,AMPAT,"$1,507.50 ",Transferencia,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,/,/
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,/
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,//
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
